blockNumber,blockReward,timeStamp
3462296,5194770940000000000,1970-01-18 06:11:58.514
2691400,5086562212310617100,1970-01-18 03:07:52.029
2687700,5003251945421042780,1970-01-18 03:06:58.852
2683816,5001383656218938700,1970-01-18 03:06:02.557
2679545,5020577105778940320,1970-01-18 03:04:57.472
2672925,5036170186197654897,1970-01-18 03:03:21.652
2672392,5040843500234248393,1970-01-18 03:03:13.756
2671141,5006088055733760000,1970-01-18 03:02:55.525
2664645,5008800961000000000,1970-01-18 03:01:23.057
2664477,5014109439959925732,1970-01-18 03:01:20.540
