_id,activityHotness,hotness,primaryCategory,publishedAt,sourceDomain,title,words
5f0cc55f0b40f100190eeff1,1.8199444334074533,73828.95605554452,Analysis,2020-07-13T18:49:00.000Z,cointelegraph.com,"Price Analysis 7/13: BTC, ETH, XRP, BCH, ADA, BSV, BNB, LTC, CRO, LINK",1585
5f0c8f5c0b40f100190d258f,1.66881346387364,73828.2771467972,Exchanges,2020-07-13T15:39:00.000Z,cointelegraph.com,SEC and CFTC Fine Crypto Investment App for Offering Synthetic Assets,360
5f0c90060b40f100190d2ed9,0.2749199854809259,73826.85871628179,General,2020-07-13T15:30:10.000Z,news.bitcoin.com,Covid-19 Forces Indians to Embrace Digital Payments but Country Still Lacks Crypto Regulation,2539
5f0c8bc00b40f100190cfe24,0.22809338454620645,73826.80758412529,General,2020-07-13T15:28:37.000Z,insidebitcoins.com,Grayscale Shifts Large Cap Fund Focus To Ethereum and Bitcoin,511
5f0c37c40b40f100190a26bb,0.22837077723447896,73825.84063929575,General,2020-07-13T09:40:25.000Z,decrypt.co,Grayscale large cap fund shifts focus to Bitcoin and Ethereum,442
5f0b2a300b40f1001901cb9b,0.3043814364036685,73822.80493699196,Government,2020-07-12T15:00:12.000Z,coindoo.com,Top Web Hosting Services That Accept Payments in Cryptocurrencies,960
5f0bc3720b40f1001906a4da,0.28484548129046006,73822.78540103685,Government,2020-07-12T15:00:12.000Z,coindoo.com,Top Web Hosting Services That Accept Payments in Cryptocurrencies,960
5f0abdfb0b40f10019fe7b02,0.2595338988054599,73821.5182376025,Exchanges,2020-07-12T07:33:08.000Z,tokenhell.com,"Due to COVID-19, Bitcoin Holdings in Japanese Exchanges Have Witnessed a Sharp...",391
5f09f72b0b40f10019f844d7,0.2924248652274134,73819.04497116152,General,2020-07-11T16:30:55.000Z,news.bitcoin.com,‘Fiat and Money Printing’ Street Mural Earns $500 in Bitcoin Donations in Five Days,2037
5f09cd6e0b40f10019f6c472,0.22089603458369755,73818.5045071457,General,2020-07-11T13:42:06.000Z,btcmanager.com,Play CryptoSlots’ Winning ‘Race for Office’ Game as You Countdown to the Election,334
5f09cb570b40f10019f6ad9b,0.25686159179138457,73818.42982455475,General,2020-07-11T13:02:16.000Z,coingape.com,Cardano’s Shelley Undergoes ‘Dress Rehearsal’; All Set For July Release,489
5f09b0e90b40f10019f5c379,0.29169226121820613,73818.11146077974,General,2020-07-11T10:55:07.000Z,news.bitcoin.com,Bitcoin Prize For Winners Of South Africa Mountain Bike Race,2069
5f09969a0b40f10019f50933,0.23029127521808396,73817.90913386781,General,2020-07-11T10:04:23.000Z,tokenhell.com,CoinBase Review – Buying and Selling Cryptocurrencies Was Never This...,3032
