__v,_id,activityHotness,coin,createdAt,favoriteCount,hashtags,hotness,id,isRetweeted,language,links,mentions,publishedAt,retweetCount,symbols,twitteratiScore,updatedAt,username
0,5f0c85740b40f100190cd466,3.58351893845611,59d21e9b83a0523906a45db3,2020-07-13T16:01:56.069Z,15,[],73826.10064856808,1282692805534420994,False,en,['https://twitter.com/i/web/status/1282692805534420994'],[],2020-07-13T15:06:10.000Z,5,[],0,2020-07-13T16:01:56.069Z,dahongfei
0,5f0937c70b40f10019f22925,4.68213122712422,59d21e9b83a0523906a45db3,2020-07-11T03:53:44.491Z,0,['Neo'],73817.31393678268,1281797224750436353,True,en,[],"['NEO_Blockchain', 'IntWorkAll']",2020-07-11T03:47:27.000Z,24,[],0,2020-07-11T03:53:44.491Z,dahongfei
0,5f0937c70b40f10019f22924,2.533696813957432,59d21e9b83a0523906a45db3,2020-07-11T03:53:44.491Z,9,[],73815.16480792507,1281797160409821186,False,en,['https://twitter.com/i/web/status/1281797160409821186'],[],2020-07-11T03:47:12.000Z,1,[],0,2020-07-11T03:53:44.491Z,dahongfei
0,5f08ba8f0b40f10019ee57ae,4.792479284293085,59d21e9b83a0523906a45db3,2020-07-10T18:59:27.286Z,44,['Neo'],73814.95919224726,1281573892776173568,False,en,['https://twitter.com/i/web/status/1281573892776173568'],['IntWorkAll'],2020-07-10T13:00:01.000Z,18,[],0,2020-07-10T18:59:27.286Z,NEO_Blockchain
0,5f080e0e0b40f10019e8e611,3.5322256440685598,59d21e9b83a0523906a45db3,2020-07-10T06:43:27.884Z,13,"['Blockchain', 'NextGenInternet']",73812.61356823666,1281475563350159360,False,en,['https://youtu.be/Zp6PXojr4eQ?t=19619'],['unitize2020'],2020-07-10T06:29:17.000Z,5,[],0,2020-07-10T06:43:27.884Z,NEO_Blockchain
0,5f07690b0b40f10019e3de55,4.762173934797756,59d21e9b83a0523906a45db3,2020-07-09T18:59:24.763Z,55,['nextgenInternet'],73810.92888689776,1281211507838255104,False,en,['https://twitter.com/i/web/status/1281211507838255104'],[],2020-07-09T13:00:01.000Z,15,[],0,2020-07-09T18:59:24.763Z,NEO_Blockchain
0,5f067ccc0b40f10019dc539c,0.0,59d21e9b83a0523906a45db3,2020-07-09T02:11:25.191Z,0,[],73804.36208333333,1281048010944679937,False,en,['https://twitter.com/i/web/status/1281048010944679937'],['john_devadoss'],2020-07-09T02:10:21.000Z,0,[],0,2020-07-09T02:11:25.191Z,NEO_Blockchain
0,5f044dc80b40f10019cabff9,3.9019726695746444,59d21e9b83a0523906a45db3,2020-07-07T10:26:17.396Z,20,[],73801.60063007698,1280444325894160384,False,en,['https://cointelegraph.com/news/neo-founder-says-next-gen-internet-will-break-up-tech-giants-data-silos'],['Cointelegraph'],2020-07-07T10:11:31.000Z,7,[],0,2020-07-07T10:26:17.396Z,dahongfei
0,5f044dc80b40f10019cabffa,2.8390784635086144,59d21e9b83a0523906a45db3,2020-07-07T10:26:17.397Z,9,['NextGenInternet'],73800.55375438943,1280445775604903936,False,en,['https://twitter.com/i/web/status/1280445775604903936'],"['unitize2020', 'dahongfei']",2020-07-07T10:17:17.000Z,2,[],0,2020-07-07T10:26:17.397Z,NEO_Blockchain
0,5f043b0b0b40f10019ca45b4,2.785011242238338,59d21e9b83a0523906a45db3,2020-07-07T09:06:19.364Z,8,"['Neo', 'decentralized']",73800.29181679779,1280426945474260992,False,en,['https://twitter.com/i/web/status/1280426945474260992'],['threefold_io'],2020-07-07T09:02:27.000Z,2,[],0,2020-07-07T09:06:19.364Z,NEO_Blockchain
